ticker,total_mentions,first_seen_utc,speculator_io,michaelsikand,zephyr_z9,kawzinvests,handles_count
SCCO,2,2026-01-18 21:49 UTC,2,0,0,0,1
FCX,2,2026-01-18 21:49 UTC,2,0,0,0,1
ERO,2,2026-01-18 21:49 UTC,2,0,0,0,1
ARBE,2,2026-01-22 22:47 UTC,2,0,0,0,1
OPTT,2,2026-01-24 23:21 UTC,0,0,0,2,1
ONDAS,2,2026-01-27 21:37 UTC,0,0,0,2,1
HYMC,2,2026-01-27 22:30 UTC,2,0,0,0,1
MIR,2,2026-01-28 22:17 UTC,2,0,0,0,1
PEG,2,2026-01-28 22:17 UTC,2,0,0,0,1
NLR,2,2026-01-28 22:17 UTC,2,0,0,0,1
URA,2,2026-01-28 22:17 UTC,2,0,0,0,1
URNM,2,2026-01-28 22:17 UTC,2,0,0,0,1
NUKZ,2,2026-01-28 22:17 UTC,2,0,0,0,1
BEP,2,2026-01-28 22:17 UTC,2,0,0,0,1
TECK,2,2026-02-03 16:32 UTC,1,0,0,1,2
VNP,2,2026-02-03 16:32 UTC,0,0,0,2,1
NFLX,2,2026-02-05 19:49 UTC,2,0,0,0,1
QQQ,2,2026-02-05 19:49 UTC,1,0,0,1,2
SPY,2,2026-02-05 19:49 UTC,1,0,0,1,2
NXT,2,2026-02-13 23:08 UTC,2,0,0,0,1
FLKR,2,2026-02-17 16:43 UTC,0,0,0,2,1
DVA,2,2026-02-19 23:50 UTC,2,0,0,0,1
LYB,2,2026-02-19 23:50 UTC,2,0,0,0,1
DOW,2,2026-02-19 23:50 UTC,2,0,0,0,1
MRNA,2,2026-02-19 23:50 UTC,2,0,0,0,1
BIDU,2,2026-02-20 18:52 UTC,1,0,0,1,2
DRSHF,2,2026-02-22 22:03 UTC,2,0,0,0,1
FLT,2,2026-02-22 22:03 UTC,2,0,0,0,1
PAOTF,2,2026-02-22 22:03 UTC,2,0,0,0,1
EH,2,2026-02-22 22:03 UTC,2,0,0,0,1
EVTL,2,2026-02-22 22:03 UTC,2,0,0,0,1
EADSY,2,2026-02-22 22:03 UTC,2,0,0,0,1
IBRX,2,2026-02-25 23:26 UTC,2,0,0,0,1
BLSH,2,2026-03-04 22:14 UTC,2,0,0,0,1
NRGV,2,2026-03-04 22:14 UTC,2,0,0,0,1
PONY,2,2026-03-16 19:14 UTC,1,1,0,0,2
PYPL,2,2026-03-17 20:22 UTC,1,0,0,1,2
CODA,2,2026-03-17 22:31 UTC,1,1,0,0,2
ONTO,2,2026-03-25 23:40 UTC,2,0,0,0,1
SOFI,2,2026-03-30 19:32 UTC,0,2,0,0,1
OUST,2,2026-04-05 21:00 UTC,1,1,0,0,2
ARQQ,2,2026-04-15 22:15 UTC,2,0,0,0,1
DAVE,2,2026-04-15 22:15 UTC,2,0,0,0,1
IRDM,2,2026-04-16 23:10 UTC,2,0,0,0,1
ETL,2,2026-04-16 23:10 UTC,2,0,0,0,1
CRS,2,2026-04-16 23:10 UTC,2,0,0,0,1
MTRN,2,2026-04-16 23:10 UTC,2,0,0,0,1
ATI,2,2026-04-16 23:10 UTC,2,0,0,0,1
PKE,2,2026-04-16 23:10 UTC,2,0,0,0,1
RBC,2,2026-04-16 23:10 UTC,2,0,0,0,1
PH,2,2026-04-16 23:10 UTC,2,0,0,0,1
AME,2,2026-04-16 23:10 UTC,2,0,0,0,1
GHM,2,2026-04-16 23:10 UTC,2,0,0,0,1
SPCE,2,2026-04-16 23:10 UTC,2,0,0,0,1
LPKF,2,2026-04-20 09:33 UTC,0,2,0,0,1
SMTC,2,2026-04-20 22:11 UTC,1,0,0,1,2
VRNS,2,2026-04-29 22:17 UTC,2,0,0,0,1
NXPI,2,2026-04-29 22:17 UTC,1,0,0,1,2
PDFS,2,2026-05-03 11:34 UTC,2,0,0,0,1
DDOG,2,2026-05-03 11:34 UTC,2,0,0,0,1
ADEA,2,2026-05-03 11:34 UTC,2,0,0,0,1
XNDU,2,2026-05-03 21:16 UTC,2,0,0,0,1
RIOT,2,2026-05-07 21:15 UTC,2,0,0,0,1
MARA,2,2026-05-07 21:15 UTC,2,0,0,0,1
SILC,2,2026-05-09 20:44 UTC,2,0,0,0,1
RDNT,2,2026-05-09 22:43 UTC,2,0,0,0,1
MRAM,2,2026-05-11 21:43 UTC,2,0,0,0,1
CDNS,2,2026-05-14 19:54 UTC,2,0,0,0,1
TT,2,2026-05-14 19:54 UTC,2,0,0,0,1
SPCX,2,2026-05-15 22:24 UTC,1,1,0,0,2
OKTA,2,2026-05-18 21:57 UTC,2,0,0,0,1
SIE,2,2026-05-28 23:44 UTC,2,0,0,0,1
ABBN,2,2026-05-28 23:44 UTC,2,0,0,0,1
POWI,2,2026-05-28 23:44 UTC,1,0,0,1,2
IFX,2,2026-05-28 23:44 UTC,1,0,0,1,2
ALKAL,2,2026-05-30 14:59 UTC,0,0,0,2,1
RXT,2,2026-05-31 21:35 UTC,2,0,0,0,1
HYLN,2,2026-05-31 21:35 UTC,2,0,0,0,1
VPG,2,2026-05-31 21:35 UTC,2,0,0,0,1
LLY,1,2026-01-01 22:02 UTC,1,0,0,0,1
TMO,1,2026-01-01 22:02 UTC,1,0,0,0,1
DIS,1,2026-01-01 22:02 UTC,1,0,0,0,1
SCHW,1,2026-01-01 22:02 UTC,1,0,0,0,1
T,1,2026-01-01 22:02 UTC,1,0,0,0,1
BSX,1,2026-01-01 22:02 UTC,1,0,0,0,1
CVS,1,2026-01-01 22:02 UTC,1,0,0,0,1
CP,1,2026-01-01 22:02 UTC,1,0,0,0,1
CRH,1,2026-01-01 22:02 UTC,1,0,0,0,1
